GeneID	Expression
b3452	True
b3728	True
b2958	False
b0184	False
b0122	False
b2341	False
b1876	False
leuZ	True
b2748	False
b3181	False
b2862	True
b0336	False
b0180	False
b3205	False
b4680	True
b0155	False
b0392	True
b1626	False
b3071	False
asnW	True
gltU	True
b4367	True
b0441	False
b1508	True
b3375	False
b3651	False
b0635	False
b3349	False
b1220	False
b0027	False
b1737	True
b2779	False
b1046	False
b1537	True
b3075	False
mcaS	False
b3491	True
b4362	False
b3396	False
b2067	False
b0834	False
b0543	False
b4135	False
ffs	True
b2252	True
b0039	False
b0222	False
b2024	False
b1085	False
b0741	False
b2283	False
b3226	False
b3830	False
b0189	False
b0425	False
b0605	False
b1292	False
b1663	False
b1793	False
b4238	True
b1191	False
b2602	True
b3612	False
b2143	True
b0457	False
b3896	True
b2897	False
b0634	False
b0143	False
b1448	False
b0640	False
b3766	True
b2568	False
b0096	False
b1296	False
b2929	False
b1654	False
b2380	False
b0526	False
b1556	True
b1856	False
b2172	False
b2126	False
b0472	False
b2263	False
b4148	True
b1203	False
b1686	True
b4670	True
b3262	True
b0084	False
b2242	True
b0750	False
b1645	False
b1536	True
b2208	True
argX	False
b3645	False
b3810	False
b1844	False
b4045	True
b2093	True
b3703	False
b4351	False
b3963	False
b1914	False
b4595	False
b3249	False
b2278	False
leuT	True
b2464	True
b2280	False
b2807	False
b1300	True
b1123	False
b1496	True
rrlB	False
b3067	False
b3699	False
b1623	False
b1709	False
b2266	False
b3523	True
b1978	False
b1842	False
b1034	False
b4116	True
b1635	False
b3959	True
b1436	False
b2889	False
b0522	False
b0922	False
b2617	False
b1994	True
b0053	False
b2711	True
b4120	False
b2235	False
b1015	False
b0446	False
b0372	True
b2410	False
b0130	False
b3352	False
b3544	False
b3632	False
b2284	False
b0871	False
b4538	False
b4732	True
b0031	False
b1763	False
b4357	True
b0113	False
b1248	False
b3711	False
b2352	False
b0454	False
b4012	False
b2212	True
b0866	False
b2319	False
b1384	True
b2506	True
b3770	False
b1431	False
b0771	False
b1101	False
b1180	False
valX	True
b1202	False
b3216	False
b3499	False
b1295	False
b1162	False
b2261	False
b3203	False
b1185	False
b0588	True
b0009	False
b2478	False
b0930	False
b0952	False
b0738	False
b1973	True
b0687	False
b3250	False
b1747	True
b0783	False
b1523	False
b2420	False
b2690	False
b2844	False
b1907	False
b3739	False
b0803	True
b1096	False
b2532	False
b2819	False
b0431	False
